title,id,episodes,score,rank,popularity,members,favorites,start_date,end_date,status,type,synopsis
Yoshino no Hime,4660,1,6.06,6080,6995,278,1,2005-00-00,2005-00-00,Finished Airing,ONA,A girl prays to the Princess of Yoshino for a cherry to be in full bloom tomorrow. That is because the Princess is one of the spirit family governing all the cherries in the world and because the brother of the girl will go campaigning tomorrow. Since it's a ONA click on website to watch the video in raw Japanese.
Neo Angelique Abyss: Second Age,4662,13,7.22,2231,2074,9726,40,2008-07-07,2008-09-29,Finished Airing,TV,"Continuing where the first season left off, the sudden increase of Thanatos with the disappearance of the Aube Hunters has now left Arcadia in ruin. Desperation reigns high as the Religious Organization fights to battle the Thanatos. Six months had already past since Hidamari mansion burned to ashes, the Aube Hunters, once hailed as heroes, is now blamed for the appearance of Thanatos. Nevertheless, hope still exists for the reappearance of the Queen's Egg one day, who will become the savior of Arcadia. Unknown to many however, the Aube Hunters have actually been silently waiting for the awakening of Angelique, who has been asleep the entire time."
Tekken Chinmi,4663,20,7.39,1917,5156,1032,6,1988-07-02,1988-12-24,Finished Airing,TV,"Chinmi is a young Chinese boy devoted to martial arts training. Word of his skill reaches the kung-fu masters at the famous Dailin temple who invite him to study with them. Through his own dedication and the guidance of his teachers, Chinmi becomes one of the top students at the temple. Eventually, the time comes for him to leave Dailin and make a pilgrimage. On his journey he faces a number of dangers that test his skills, but he also meets many people who inspire him in different ways. A chastened but determined Chinmi returns to Dailin for advanced training. But soon his skills are needed again—the Mongol hordes are nearing the temple."
Rurouni Kenshin: Special Techniques,4664,1,7.48,1265,2828,5018,5,1997-10-21,1997-10-21,Finished Airing,Special,"Similiar to the ""Himura Kenshin's Greatest Hits"" from the first special, this episode goes through every technique of the Hiten Mitsurugi Ryuu and explains how it works."
B-Densetsu! Battle Bedaman Enkon,4667,51,6.49,5000,4426,1626,11,2005-01-10,2005-12-26,Finished Airing,TV,"In B-Daworld, B-Daplayers are searching for the legendary Strike Shot, a type of B-Daball made from fallen star that can enhance B-Daman's abilities. Along the way, B-DaMage gives out hints through B-Daman Broadcasting, for individuals entering Winners tournament, which requires Strike Shot to be eligible to compete."
Ghost in the Shell 2.0,4672,1,8.15,337,877,34424,155,2008-07-12,2008-07-12,Finished Airing,Movie,"Mamoru Oshii's first Ghost in the Shell cyberspace film will return to five Japanese theaters in an enhanced Ghost in the Shell 2.0 edition on July 12. The new edition will include new computer graphics and digital effects for some scenes and a reunion of most of the cast members for a new 6.1 surround sound recording. Academy-Award-winning sound mixer/editor Randy Thom has overseen the new soundtrack with Kenji Kawai's original music and a final mix that has been produced at Thom and Lucas Digital's Skywalker Sound studio in California. In the new edition, the enigmatic Puppet Master character will be played by Yoshiko Sakakibara . Iemasa Kayumi played the role in the original edition. The film will screen in Tokyo, Osaka, Nagoya, Fukuoka, and Sapporo. Not coincidentally, Oshii's latest film, The Sky Crawlers, will open one month after Ghost in the Shell 2.0 on August 2."
Detective File 1: Kindan no Ai,4675,1,5.44,7096,5780,690,1,1999-07-29,1999-07-29,Finished Airing,OVA,"Private detective Takayasu Higishino rescues Ayane from two men who cornered her in an alley. Ayane is startled by Takayasu's appearance, he looks just like her presumedly dead brother Shingo. Shingo's car accident occured under strange circumstances, and Ayane has hired Takayasu to help her find out what really happened. Takayasu suspects Ayane's family maybe involved, so he heads back with Ayane to her family mansion, posing as Shingo, hoping to uncover the truth."
Takane no Jitensha,4685,1,6.16,5965,4727,1351,1,2008-07-06,2008-07-06,Finished Airing,Special,"An 11-year-old boy, Takasumi Takane, will be given a new bicycle if his exam results are in the top 100, but his results put him in 112th place. He tells his mother a lie that he placed 92nd, and he tears the answer sheets apart. On his way home from cram school, he accidently breaks the old bicycle that he is supposed to hand down to his little sister, Tamaki. This angers Tamaki. Furthermore, Tamaki accuses him of telling a lie, and he begins to think of her as a nuisance. One night, when he goes to a shrine to look for his missing dog, Chris, he encounters a young man named Yoyogi. Somehow, Yoyogi has the answer sheet marked as “92nd."" Yoyogi proposes a trade, but threatens to return the answer sheet to its original owner unless he is given something Takane doesn't need. Takane offers him his sister, Tamaki. At that very moment, Tamaki arrives, searching for Takane and Chris. Yoyogi turns Tamaki into a shining object and swallows her. Takane decides that he was wrong and wants to save her. Yoyogi agrees to restore Tamaki to her original form if Takane wins a race against him, with his broken bicycle. Can Takane win the race rescue Tamaki?"
Minna Agechau♡,4688,1,6.10,6362,6444,437,0,1987-03-27,1987-03-27,Finished Airing,OVA,"A beautiful day Rokurou, a student, was to masturbate when a beautiful girl knocks on his door: You need a virgin? And so begins the story. Rokurou did not know what it was that this beautiful girl was a millionaire family."
Kaze no Toori Michi,4689,1,6.15,5894,4647,1412,2,2004-12-08,2004-12-08,Finished Airing,Music,"Animated video for Horishita Sayuri's Kaze no Toori Michi produced for NHK's Minna no Uta. Direction and animation by Mochizuki Tomomi, Kondou Katsuya and Tanaka Naoya from Ghibli."
Cyborg 009 (1979),4690,50,7.25,2440,4109,1974,7,1979-03-06,1980-03-25,Finished Airing,TV,"Nine people are tricked and forced by a evil organization called The Neo-Black Ghosts into becoming cyborgs. But they refuse to become the neo-black ghosts killing machines, and guided by Dr. Gilmore the cyborgs escape. They team up in order to fight the neo-black ghosts and injustice where ever it shows it&#039;s face."
Tragic Silence: Shoujo Yugi,4692,1,5.45,6963,6390,458,1,2003-02-18,2003-02-18,Finished Airing,OVA,"Luticia is a vampire. However, she has fallen in love with her childhood friend, a human named Shou. She is afraid that their love will not be able to overcome their differences... Rick, a vampire from Luticia’s Clan, is murdered by a woman from Shou’s village. Rick had been having an affair with her, and the vampires are enraged to find out that Rick has been sleeping with humans instead of preying on them. Regardless, the clan starts planning to revenge the murder of their own kind. Humans are also enraged to discover thee existence of vampires in the vicinity and they are also planning to find nad destroy the vampires. What will happen to Luticia and Shou? Will their love survive the hatred between their people?"
Dochinpira,4693,1,5.54,6902,7169,241,2,1993-08-27,1993-08-27,Finished Airing,OVA,"Jin is one horny hunk, a twenty-two year old stud with lady killer looks. He's challenged by gorgeous Ai Mizushima to ""make me scream with pleasure"" it's a wager he can't refuse especially the when the prize is a brand new sports car."
Chimera: Target I Datenshi Kourin,4697,1,5.5,6971,5953,625,3,1997-10-10,1997-10-10,Finished Airing,OVA,"Her name is Rei, the Chimera, Angel of Death. The dark wasteland of the underworld is her home. She`s an expert marksman, a silent assassin, and more woman than meets the eye. The mafia boss who killed her parents, John Roy, also took the pleasure of raping their son. John Roy now rules the Hong Kong underground, and Rei works for him."
Jokei Kazoku: Inbou,4698,2,6.72,4173,4275,1786,5,2006-08-25,2006-10-25,Finished Airing,OVA,"An evil politician Arimori Kamoshige have been a local governor for 40 years,. Abusing his power, he has gained wealth and women. The protagonist’s father has managed Arimori’s black money as a right hand person, but later, he was expelled being charged false crime. He got discouraged and called his runaway son, Tatsuya. He asked Tatsuya his revenge on Kamoshige. Soon his father died, and Kamoshige hired Tatsuya as the third secretary. However, Kamo also died 3 months later. Just before his death, he changed the pass code of a safebox which hidden black money was in. Then, the power balance of Arimori Family changed. The person who obtains the hidden money will get become the next ruler. While Arimori Family is conflict for the hidden money, Tatsuya begins his revenge."
Eisai Kyoiku,4699,1,5.45,7105,5075,1092,4,2007-07-25,2007-07-25,Finished Airing,OVA,"Based on the H-game by Amalgame. Certain subjects being taught these days at college aren't always on the curriculum... Sex education is one of them! Here at our all-girls school, one male teacher takes it upon himself to best educate students in the ways of carnal knowledge. Using his authority, he lures the hottest students into his lair and has his sleazy way with them! In the the end, these girls will learn some lessons they'll never forget. At another college, a glowing phallus-shaped artifact possesses magical powers that turn innocent girls into raging sex maniacs. When a teacher is seduced by a student, he soon finds himself endowed with a power that the girls cannot resist..."
Visionary,4700,5,5.62,6824,6389,458,0,1995-08-25,1996-04-21,Finished Airing,OVA,"Episodes 1-2: Using his computer, a frustrated 19-year-old computer nerd accidentally summons a sexy android named Doreimon from the 22nd century! Using her futuristic powers, she'll try to help him score with the woman of his dreams by ""compensating"" him for his shortcomings! Episode 3: Koban and Sameo have a very strange arrangement. Koban gets Sameo's leftovers, but he also pays for Sameo's dates! One day, Koban rescues a pretty girl named Shiori from an attacker in the park. Koban immediately falls for Shiori, but is too shy to say anything. Sameo then proceeds to set up Koban and Shiori... on a skydiving date! Episode 4: Mai Inoue desperately wants to become a showbiz personality, and she's ready to do just about anything to make her dream come true. Mai decides to join the upcoming beauty pagent ""New Century Queen"", where claiming the title may be her ticket to fame. To improve her chances, Mai decides to get acquainted with the handsome producer Akagi. But Akagi has plans of his own... Episode 5: Beautiful co-eds are disappearing from St. Stoker University. Witnesses report seeing shadowy, bat-winged creatures in the night. The Student President suspects... vampires! When her friends are kidnapped, Kanna—a 19-year-old transfer student from Europe—must reveal her true identity!"
Yama Hime no Mi,4701,3,6.25,5846,4629,1434,20,2007-10-26,2010-10-15,Finished Airing,OVA,Based on the manga by Sanbun Kyouden. Two separate stories about sons witnessing their mothers gradually being taken over by lust and pleasure.
Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,4703,1,7.42,1683,4654,1404,5,2008-11-08,2008-11-08,Finished Airing,Movie,"It's Nozomi's birthday, but it is disturbed by Bunbee chasing after a girl from another world, Chocola. When Pretty Cure rescue her, she thanks them by taking them to her country, Dessert Kingdom. In this cockaigne with rivers of juice and candy growing on trees, they feel very comfortable. But then they meet the evil Mushiban and his two subordinates Dry and Bitter. They want to take over the kingdom and change Pretty Cure into sweets. In order to save not only Nozomi's Birthday but also the whole Dessert Kingdom, Pretty Cure have to fight their way against Dry and Bitter and also against their own friend: Coco, who is being brainwashed by Mushiban."
Tengen Toppa Gurren Lagann: Parallel Works,4705,8,7.29,2008,1439,17845,17,2008-06-16,2008-09-14,Finished Airing,Music,"An anthology of animated shorts featuring characters from Gurren Lagann in alternative worlds. Every clip is animated by a particular animator of GAINAX. Creators are Akira Amemiya, Shin Itagaki, Hirokazu Kojima, SUEZEN, Ryouji Masuyama, Hiroyuki Yamaga, Yoh Yoshinari, and Keisuke Watanabe"
Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!,4712,1,6.8,4146,3532,2899,5,2007-08-24,2007-08-24,Finished Airing,Special,"A recap of the whole Digimon Savers TV series in one episode, with original commentary by Agumon, Gaomon, and Lalamon, included in the final volume of the DVD releases."
Heart no Kuni no Alice: Wonderful Wonder World,4713,1,6.28,5626,1591,15278,102,2011-07-30,2011-07-30,Finished Airing,Movie,"The girly but bloody otome game re-imagining of Lewis Carroll's classic fantasy novel Alice's Adventures in Wonderland with bishounen characters and added romance. A parody of Alice's Adventures in Wonderland where Alice is smart and non-doormatlike. In this story, Alice is not all what she seems. She is practical, strong, yet darkly cynical. Instead of the tradition story, Alice is kidnapped unwillingly by a mysterious man with bunny ears into a place call Heartland. Stuck in Heartland due to a trick by the mysterious bunny eared man, she meets the residents of this world. Along the way, Alice meets Blood, handsome mafia leader; Ace, the psycho yet charming knight and more... What should Alice do in such a world!?"
The Rapeman,4714,2,6.53,4602,4550,1497,21,1994-10-28,1994-10-28,Finished Airing,OVA,"The main character and ""anti-hero"", The Rapeman, is a high school teacher by day and dispenses his surreal brand of ""justice"" at night under the business ""Rapeman Services"", which is co-run with his uncle, a former surgeon. He uses rape as his weapon. The business' motto is ""Righting wrongs through penetration""."
Shigofumi Special,4715,1,7.51,1289,2077,9706,1,2008-09-26,2008-09-26,Finished Airing,Special,The 13th episode of Shigofumi.
Chijoku Kankin,4717,1,5.92,6309,5956,624,2,2001-09-21,2001-09-21,Finished Airing,OVA,Nurse hentai.
AIKa: Special Trial,4718,1,5.86,6436,3451,3106,4,1998-05-25,1998-05-25,Finished Airing,Special,A bonus episode about Aika and company moving to a new office.
Queen's Blade: Rurou no Senshi,4719,12,6.34,5364,842,35670,84,2009-04-02,2009-06-18,Finished Airing,TV,"In a land where a queen is chosen every few years solely by winning a tournament, there can be no short supply of formidable opponents. For one woman warrior however, an early defeat clearly shows her that she is lacking in experience though she may be bountiful in body. Fortunately, while defeat could spell one's doom, her life is saved by a powerful stranger. But unfortunately for this savior, less-than-pure motives and shrewd family members mean her reward is a prison cell. Her release is prompt when the unseasoned warrior she saved, tired of her current lifestyle of nobility, sets off to prove herself."
White Album,4720,13,6.8,3570,908,33246,73,2009-01-04,2009-03-29,Finished Airing,TV,"Adapted from the Leaf eroge. Fujii Touya, a college student, is dating a rising idol singer named Morikawa Yuki. There are numerous challenges to the couple's relationship from the other people at Fujii's college, Morikawa's work, and elsewhere."
Skip Beat!,4722,25,8.31,161,264,90129,3420,2008-10-06,2009-03-30,Finished Airing,TV,"Bright, diligent, and yet na&iuml;ve 16-year-old Kyouko Mogami works hard to support the career and dreams of her childhood friend, crush, and rising pop icon, Shoutarou Fuwa. Toiling endlessly at burger joints and tea ceremonies, the innocent Kyouko remains unaware that day in day out, all her tireless efforts have been taken for granted, until, one day, she finds out that her beloved Shou sees her as nothing but a free servant. Shocked, heartbroken and enraged, she vows to take revenge on the rookie star by entering the ruthless world of entertainment herself. As she steps into this new life, Kyouko will face new challenges as well as people who will push her out of her comfort zone. Based on the best-selling shoujo manga by Yoshiki Nakamura, Skip Beat showcases the growth of a young woman who slowly unlearns how to work herself to the bone for the satisfaction of others and takes her future into her own hands instead."
Ga-Rei: Zero,4725,12,7.83,624,220,100407,1453,2008-10-06,2008-12-22,Finished Airing,TV,"""Will you kill someone you love because of love?"" The Japanese Ministry of Defense has an anti-paranormal special forces group called the Supernatural Disaster Prevention Office. They are the ones responsible to protect Japanese soil and its people from supernatural and paranormal events. However, things didn't go so well in one of their missions..."
Druaga no Tou: The Sword of Uruk,4726,12,7.42,1580,938,32136,58,2009-01-09,2009-03-27,Finished Airing,TV,"With broken spirits and enigmatic questions that hold no answers lingering, Jil is still trying to figure everything out. Then, a mysterious girl named Kai appears before him and says: ""Take me to the top of the tower."" Kai's request shrouded in ambiguity, Jil will have another chance to work towards completing his destiny and ascend the Tower. With his hopes and aspirations seemingly slipping out of his hands, Jil must rise to the challenge once again on this never-ending adventure."
Natural 2: Duo,4729,4,6.31,5506,6030,593,1,2001-11-25,2003-07-24,Finished Airing,OVA,"Chisato and Kuu lost their parents years ago and were taken in by an Old man and his grandson, Chisato and Kuu became good friends with his grandson however he left and never came back. Now. Years later Chisato met up with her ""Onii-chan"" her lost love."
Inyoku Tokkyuu Zetsurinou,4730,1,6.02,6219,4805,1295,35,2007-08-31,2007-08-31,Finished Airing,OVA,"The Oraga Stone is the source of energy to activate cyborgs, through combination of the train, to fight for evil or good. The only way to supply the energy to the stone is through sexual stimulation of women to orgasm. The M-77 Express was stolen by a professor who had betrayed the good guys to do his evil desires. The only way to stop him... ... the Sex Desire Express Zetsurinou"
Hiiro no Koku,4731,5,5.69,6679,6583,395,4,1999-09-18,2000-09-15,Finished Airing,OVA,Based on the manga by Sanbun Kyouden. A housewife gets raped by a bunch of men. As it turns out she likes it and her life becomes a succession of perverted sexual adventures.
Grope: Yami no naka no Kotoritachi,4732,2,6.09,6079,4302,1757,6,2007-12-21,2008-08-29,Finished Airing,OVA,"An earthquake causes the school campus to collapse living only 4 survivors - 2 childhood friends, Fubuki & Shinichi with Takahaki and a Junior girl. Both Shinichi and Takahaki likes Fubuki, but Fubuki likes only Shinichi. Takahaki made false accusation on Shinichi having interest on the Junior, whom also likes Shinchi, in front of Fubuki to create a doubt between both childhood friends. And making use of the situation and raped the Junior and of course.... Fubuki. Leaving Shinichi in a mist of doubts."
Blue Remains,4733,1,5.43,7136,7291,218,0,2001-08-22,2001-08-22,Finished Airing,Movie,"Post-nuclear Earth is barren, and life can't survive on the surface, so the few remaining people have lived under-water waiting for their time to be able to go to the surface. Amamiku and her faithful computer guardians, Pyron and Mayzamik, guard the seeds that contain the DNA for life and re-growth on the surface when the air is breathable again, but not everyone wants that to happen."
Himitsukessha Taka no Tsume,4737,12,6.52,5537,7106,252,0,2006-04-06,2006-06-15,Finished Airing,TV,"Eagle Talon is a secret society based in Kojimachi, Tokyo. With plans for world domination, their attempts are continually foiled by Deluxe Fighter, the superhero who always manages to save the day. This comedy of their frivolous lives is definitely not to be missed!"
Papa to Odorou,4742,16,7.12,2536,6662,368,1,1999-07-05,1999-07-24,Finished Airing,TV,"Imagine two irresponsible siblings living under the care of an equally or more irresponsible father . Then add some bizarre stuff, like cobras, bad jokes, adult videos, seductive grannies, farting, stupid remarks and insults, terribly foul language, and a nonsensical plethora of strange happenings..."
Vampire Knight Guilty,4752,13,7.60,966,118,137912,2586,2008-10-07,2008-12-30,Finished Airing,TV,"As a direct continuation of the first season, Zero comes back after his disappearance from the academy. Despite her relief, Yuuki, whose past is still shrouded in mystery, wonders what exactly happened to Zero during the separation. As Zero continues having the strange vision that appeared since the day he drank Kaname's blood, he visits the now awakened Maria Kurenai in an attempt to find answers. She only provides him with a cryptic answer that suggests who the true enemy really might be. In the meantime, vampires from the Supreme Vampire Council arrive at the academy in order to punish Zero with death for his sin of killing a pureblood. However, Kaname intervenes with the council's decision with not only the intention of saving Zero but with another purpose unbeknown to everyone around him."
Hello Harinezumi: Satsui no Ryoubun,4756,1,6.58,4795,5996,608,1,1992-09-01,1992-09-01,Finished Airing,OVA,"On the trail of a missing husband, private investigator Goro crosses paths with a deranged killer."
Kanokon Specials,4760,12,6.61,4409,1662,14245,23,2008-06-25,2008-11-21,Finished Airing,Special,Uncensored 2-minute DVD Specials of Kanokon.
Tokyo Loop,4761,1,5.17,6883,6829,316,0,2006-12-23,2006-12-23,Finished Airing,Movie,"A series of 16 ""short stories"" created by the creator's group Images Forum. The stories are: Tokyo Strut Tokyo Trip Fishing Vine Yuki-chan Dog & Bone Public Convenience TOKYO Black Fish Unbalance Tokyo Girl Manipulated Man Nuance Hashimoto Funkorogashi Fig 12 O'Clock"
Tsuma Shibori,4763,2,7.11,2953,3703,2570,24,2008-05-25,2008-09-25,Finished Airing,OVA,"Kousuke lives a boring life without women.... One day, his father introduces a woman, Madoka, and he is forced to live with her. Madoka's older sister Sakura starts to live with them to keep watch on them and his cohabitation with two beautiful sisters starts....a world filled with wives in need of some attention awaits him."
Gunslinger Girl: Il Teatrino OVA,4765,2,7.14,2506,1809,12482,10,2008-10-24,2008-10-24,Finished Airing,OVA,Episodes 14 and 15 of Gunslinger Girl: Il Teatrino.
Aria The Origination: Sono Choppiri Himitsu no Basho ni...,4772,1,8.2,252,2198,8726,13,2008-06-25,2008-06-25,Finished Airing,Special,"Special episode based on manga Navigation 39 entitled ""The Secret Place"". Its action takes place between episodes 5 and 6 of Aria the Origination. Akari and President Aria take a walk in the eastern part of Neo-Venezia. The are spotted by Akatsuki, who follows them to try to greet Akari. They eventually end up at St Mark's Basilica, where Akari has a secret place, which is discovered by Akatsuki, Aika, and Alice."
Yamato Takeru,4773,37,7.17,2471,6111,562,4,1994-04-09,1994-12-24,Finished Airing,TV,"In the 25th century, a spaceship carrying 300 people leaves the earth in search of a new world in the solar system, but an unexpected accident occurs. They crash into a black hole which is connected to another universe. The people on the ship are cast adrift in an emergency capsule to a planet called Ismo. The story begins 12 years after they have reached Ismo. Ismo is a star of the Onam System, which corresponds to the Solar System in our universe. It is the only planet left in the Onam System. The Death Star called Yomi is a comet which regularly approaches the Onam System. There were once 8 planets in the Onam System. Many years ago, in the time of the gods, there was a war against the evil monster Yamatano Orochi . The gods won the battle. Yamatano Orochi was locked into 8 stones, one of which is buried deep in the center of each planet. Nobody was supposed to have access to the core of the planets. However Tsukuyomi, an evil god who rules Yomi, succeeded in reaching the stones one after another, destroying 7 of the planets using his powerful robots, the Sky Warriors. However, when he tried to acquire the last stone from the planet Ismo, the most powerful Sky Warrior, Susanoo, got out of control and was blown away. A million years later, the Death Star Yomi is approaching the Onam System once again. Tsukuyomi, the master of Yomi, plans to take this opportunity to realize his dream of ruling the entire universe. He is desperate for the last stone containing Yamatano Orochi. If Tsukuyomi can get hold of this stone, Yamatano Orochi will return to life and its power will become his. Tsukuyomi needs Sky Warrior Susanoo to capture the stone, and sends 8 Sky Soldiers to get Susanoo back. But it is too late. Susanoo no longer belongs to Tsukuyomi. It belongs to Takeru, a 13-year-old boy from Earth, who happened to discover the buried robot Susanoo and woke it from its million-year-long sleep. Takeru becomes involved in the battle against the Sky Soldiers and their evil master, Tsukuyomi. Susanoo stands up to protect his friends and their planet."
Ningyou Tsukai,4774,1,5.77,6717,6234,515,4,1996-05-21,1996-05-21,Finished Airing,OVA,"Silhouettes are robots controlled by human thoughts, originally created to help mankind. When human thoughts turn lustful, Silhouettes can be very dangerous. Rika and Sandy, two Silhouette scientists, are drawn into the world of sex crime, to uncover the evil men who have perverted their creations and they will become the next victims of the lusty Silhouettes."
Lunatic Night,4775,3,5.93,6361,6357,469,0,1996-09-21,1997-09-26,Finished Airing,OVA,"Humankind has almost reached extinction. Only one male remains, with two females and a human-like catgirl. Of course, the labor now is to repopulate Earth, so the male has to do his job. But along with having sex almost every day they have to reclaim lands of another species living on the Earth, so the sex-battles must commence."
Mama wa Poyopoyo Saurus ga Osuki,4782,52,6.78,4322,7154,244,1,1995-09-02,1996-08-31,Finished Airing,TV,"This is the story of a young couple who struggle with their children. Miki is the mother of two kids, Hyoga and Jura. Hyoga is a 4-year-old boy and Jura is a 2-year-old girl. Miki writes children's books at home. Miki wants to be a gentle and kind mother, but it is difficult to be patient with the kids. Her husband Gendai tries to be as cooperative as he can and helps her to attend to the kids. But sometimes he only makes her even angrier."
Kodomo no Jikan Recap,4786,1,7.12,2470,2512,6434,4,2008-07-11,2008-07-11,Finished Airing,OVA,A 86-minute DVD episode that includes an uncensored summary of the original TV series.
ef: A Tale of Melodies.,4789,12,8.21,229,348,73205,1180,2008-10-07,2008-12-23,Finished Airing,TV,"In a story set years in the past, Himura Yuu is a studious and diligent young man intent solely on maintaining his top academic position at Otowa Academy. One day, he meets a mysterious girl named Amamiya Yuuko, who, to his surprise, recognizes him. Memories of a distant childhood, memories rather left forgotten... meeting Yuuko again will force Yuu to confront the regrets and sorrows of their collective pasts and presents. In the present, Kuze Shuuichi may seem like a womanizer, but upon closer inspection, is a man who would rather be left alone. Hayama Mizuki, however, is not the type of girl who would let him be, especially after hearing the beautiful sounds of his violin performance. As Mizuki attempts to become closer to him, Kuze attempts to push her away—the tale of their budding relationship is darkened with undertones of an imminent tragedy."
Pokemon: Pikachu Tankentai,4792,1,6.65,4408,2097,9542,5,1999-07-17,1999-07-17,Finished Airing,Movie,Pikachu and friends must rescue lost Togepi.
Pokemon: Pichu to Pikachu,4793,1,6.79,3866,1577,15479,9,2000-07-08,2000-07-08,Finished Airing,Movie,Pikachu meets the Pichu brothers and goes on an adventure through the city with them while trying to get back to the building where the rest of Ash's Pokemon are.
Pokemon: Pikachu no Dokidoki Kakurenbo,4794,1,6.69,4172,2861,4884,3,2001-07-07,2001-07-07,Finished Airing,Movie,Pikachu and the other pokemon play a game of hide and seek.
Pokemon: Pika Pika Hoshizora Camp,4795,1,6.73,4069,2366,7437,9,2002-07-13,2002-07-13,Finished Airing,Movie,Pikachu and some of the other pokemon camp out in the woods and help the Pichu brothers get on the train.
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,4798,1,7.28,2007,2251,8268,5,2008-04-04,2008-04-04,Finished Airing,Special,"This is a special ""back-side"" episode aired on GyaO simultaneously with original broadcast which features the background story from party's side instead of Jil's."
Mune Kyun! Heartful Cafe,4799,2,5.98,6381,5719,720,1,2002-08-25,2002-10-25,Finished Airing,OVA,"Shinya is the manager of a small coffee house staffed by his twin stepsisters Chiyori and Chika. When a franchise for a large café chain opens across the street, the siblings are forced to improvise to hang onto their business. The girls start wearing revealing costumes to attract more clientele, although when regular customer Aya becomes close to Shinya, it inspires feelings of jealousy in Chika. Chika decides to seduce Shinya herself, although this soon causes problems for her twin, whose feelings towards him remain purely platonic. Erotic high jinks ensue."
Huckleberry Finn Monogatari,4800,26,6.51,5185,6427,444,0,1994-08-26,1995-03-03,Finished Airing,TV,Based on Mark Twain's famous book about the adventures of young orphan Huckleberry Finn.
Suhoyojeong Michel,4801,26,6.60,4532,6968,282,1,2003-06-06,2003-12-11,Finished Airing,TV,"A girl named Kim chases a group of thieves called the Black Hammer Gang. Until one day the Black Hammer gang and Kim fall on an island inhabited by fairies and it's guardian Michel. The Black Hammer Gang tries to steal the life source of the island called the tree of life. Causing damage to the land and kidnapping the fairies, Michel and Kim have to combat the Black Hammer gang and take back the fairies."
Kawarazaki-ke no Ichizoku The Animation,4802,2,5.84,6244,6715,352,0,1996-11-29,1997-04-25,Finished Airing,OVA,The days at a hostal doesn't seem to be very normal. Instead the visitors get a special treatement. The maids are always on dispose to serve their masters even if it is something not really normal. Hiden room and double view mirrors are only a part of this ex-state building.
Kawarazaki-ke no Ichizoku 2,4803,4,6.01,6078,6393,457,1,2004-01-23,2004-08-27,Finished Airing,OVA,"The continuation of the first OVAs, just with a little twists in the main story line, but it refains the same as the first one."
To Heart 2 AD Plus,4804,2,6.94,3156,3434,3144,5,2009-04-24,2009-10-07,Finished Airing,OVA,"Volume 1 Silfa the robot maid is currently working at Takaaki's house. However, she seems to have a little trouble with her duties as part of it involves going out in public to buy groceries, and she's a bit ""shy"" in a sense. But when it comes to Haruka Yuzuhara's special curry, she'll do what she has to in order to make this special dish for Takaaki. And that includes some competition from Milfa . Volume 2 Involves summer, swimsuits and photography."
Mashin Eiyuuden Wataru 2,4807,46,7.12,2566,6700,356,2,1990-03-09,1991-03-08,Finished Airing,TV,"This is the sequel to Mashin Eiyuden Wataru first season. Wataru has been lived happily on earth after he defeated Doakudar. When he plays around with his friend, Ryujinmaru appears and ask him to fight again. It appears that the 7 Stars Mountain, the source of Mt. Soukai's rainbow, have been taken over by Doakadar . If all the stars mountain loses their brightness, Mt. Soukai's rainbow will fade and everyone will live in the darkness for eternity. Once again, Wataru has to go through all the 7 stars system and destroy this new stronger enemy."
Hurricane Polymar,4808,26,6.85,4068,6488,424,6,1974-10-04,1975-03-08,Finished Airing,TV,"Yoroi Takeshi is a carefree and somewhat na&iuml;ve youth, who works as an assistant to the bumbling detective wannabe Kuruma Jo . From their rundown and shabby office, they run a humble if not failing private investigation service. The spunky and cute Nanba Teru frequently interferes in their affairs by threatening eviction . Since they rarely get any clients, they must resort to eavesdropping and spying on the Secret International Police Department headquarters, located in the building across from theirs in order to get their assignments. Unbeknownst to Jo and Teru, Takeshi has a deep secret. Not only is Takeshi the son of the International Police Department Chief but in times of peril and danger, mild-mannered Takeshi uses his trusty Poly-Met to transform into the Superhero &ldquo;Hurricane&rdquo; Polymer, a red suited masked man with incredible fighting abilities and superhuman strength. The only one who knows Takeshi's secret is his lazy Saint Bernard, Daisaku, who always likes to provide cutting commentary to the audience . Together Jo and Takeshi confront and battle a myriad of evil organizations, criminal gangs, mutants and monsters as they fight crime in the future city of Washinkyo ."
Shinzou Ningen Casshern,4810,35,7.09,2705,4225,1837,4,1973-10-02,1974-06-25,Finished Airing,TV,"The brilliant Dr. Azuma created many robots to aid humankind. However, during a thunderstorm his lab was struck by lightning, corrupting the programming of one of his robots, BK-1, who renames himself Braiking Boss and declares that instead of serving mankind, mankind will now serve him! He brings other robots together into an overwhelming army bent on enslaving the human race. Tetsuya, Dr. Azuma's son, asks his father to turn him into an indestructible android so that he will have the power to destroy the threat his father inadvertently created. Shortly thereafter, Braiking Boss captures Dr. Azuma and his wife, Tetsuya, now renamed Casshern, sets out to turn the tide of the war and rescue his parents, with the help of his girlfriend, Luna, and robot dog, Friender."
Ichigo Mashimaro Encore,4811,2,7.82,713,2017,10349,11,2009-01-23,2009-03-25,Finished Airing,OVA,Ichigo Mashimaro encore is a two-episode OVA continues onwards from the previous set of OVAs of Ichigo Mashimaro.
